datetime,pm1,pm25,relativehumidity,temperature,um003
2026-03-04 04:00:00+07:00,17.3,31.2,54.0,25.6,3330.0
2026-03-04 05:00:00+07:00,16.6,30.1,54.0,25.6,3179.0
2026-03-04 06:00:00+07:00,15.8,29.2,53.0,25.7,3045.0
2026-03-04 07:00:00+07:00,14.8,27.5,52.0,25.7,2875.0
2026-03-04 08:00:00+07:00,14.0,26.4,51.0,25.6,2722.0
2026-03-04 09:00:00+07:00,13.3,25.3,50.0,25.6,2628.0
2026-03-04 10:00:00+07:00,12.6,24.0,50.0,25.5,2494.0
2026-03-04 11:00:00+07:00,12.1,23.2,50.0,25.4,2402.0
2026-03-04 12:00:00+07:00,17.6,31.3,51.0,21.0,3457.0
2026-03-04 13:00:00+07:00,21.8,37.4,45.0,20.3,4230.0
2026-03-04 14:00:00+07:00,21.6,38.2,40.0,24.0,4338.0
2026-03-04 15:00:00+07:00,18.9,33.1,41.0,26.8,3672.0
2026-03-04 16:00:00+07:00,17.0,30.3,44.0,27.2,3280.0
2026-03-04 17:00:00+07:00,17.5,31.5,43.0,25.8,3373.0
2026-03-04 18:00:00+07:00,13.9,26.1,40.0,26.3,2714.0
2026-03-04 19:00:00+07:00,11.3,21.4,44.0,26.6,2271.0
2026-03-04 20:00:00+07:00,9.3,17.6,45.0,26.1,1920.0
2026-03-04 21:00:00+07:00,8.7,16.8,49.0,26.2,1841.0
2026-03-04 22:00:00+07:00,8.9,16.9,53.0,26.0,1873.0
2026-03-04 23:00:00+07:00,6.8,13.1,52.0,26.0,1509.0
2026-03-05 00:00:00+07:00,5.4,10.6,52.0,26.0,1270.0
2026-03-05 01:00:00+07:00,4.5,8.8,53.0,25.9,1098.0
2026-03-05 02:00:00+07:00,4.1,8.0,52.0,25.8,1025.0
2026-03-05 03:00:00+07:00,3.9,7.6,52.0,25.9,989.0
2026-03-05 04:00:00+07:00,3.6,7.1,52.0,25.8,947.0
2026-03-05 05:00:00+07:00,3.0,6.2,52.0,25.7,839.0
2026-03-05 06:00:00+07:00,2.9,6.0,52.0,25.7,823.0
2026-03-05 07:00:00+07:00,3.7,7.4,52.0,25.8,961.0
2026-03-05 08:00:00+07:00,8.0,14.9,52.0,25.8,1732.0
2026-03-05 09:00:00+07:00,19.5,35.2,53.0,25.8,3909.0
2026-03-05 10:00:00+07:00,16.8,31.0,54.0,25.8,3306.0
2026-03-05 11:00:00+07:00,20.5,36.0,56.0,26.0,4254.0
2026-03-05 12:00:00+07:00,21.4,35.8,55.0,25.9,4408.0
2026-03-05 13:00:00+07:00,18.4,31.1,52.0,26.0,3575.0
2026-03-05 14:00:00+07:00,17.6,30.1,48.0,26.4,3398.0
2026-03-05 15:00:00+07:00,17.5,29.8,46.0,26.3,3349.0
2026-03-05 16:00:00+07:00,17.3,29.9,46.0,26.2,3313.0
2026-03-05 17:00:00+07:00,17.8,30.7,45.0,26.1,3383.0
2026-03-05 18:00:00+07:00,17.9,30.7,44.0,26.0,3434.0
2026-03-05 19:00:00+07:00,18.2,31.5,44.0,25.9,3505.0
2026-03-05 20:00:00+07:00,18.4,31.9,44.0,25.9,3537.0
2026-03-05 21:00:00+07:00,17.2,29.8,44.0,25.8,3280.0
2026-03-05 22:00:00+07:00,14.3,25.5,44.0,25.7,2775.0
2026-03-05 23:00:00+07:00,11.5,20.4,44.0,25.6,2280.0
